"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","questionNo","questionOrder","version","task","view_history","rt","responses","stimulus","key_press","testNo","testOrder","correct"
"","html-keyboard-response","22","296659","0.0-8.0-0.0","01234","shuffled","3","3","sameness","explain","","12095","","<div class='bongard-image'><img src='img/1_concavity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","23","306500","0.0-8.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","9838","{""Q0"":""convex"",""Q1"":""concave""}","","","","",""
"","html-keyboard-response","24","308590","0.0-8.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2089","","1_concavity","70","3","0","0"
"","html-keyboard-response","25","309199","0.0-8.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","607","","1_concavity","74","0","1","0"
"","html-keyboard-response","26","310244","0.0-8.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1044","","1_concavity","70","5","2","0"
"","html-keyboard-response","27","310991","0.0-8.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","745","","1_concavity","74","4","3","1"
"","html-keyboard-response","28","311625","0.0-8.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","632","","1_concavity","74","2","4","1"
"","html-keyboard-response","29","312886","0.0-8.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1261","","1_concavity","70","1","5","1"
"","html-keyboard-response","30","323958","0.0-9.0-0.0","01234","shuffled","3","3","sameness","explain","","11070","","<div class='bongard-image'><img src='img/2_concavity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","31","357563","0.0-9.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","33601","{""Q0"":""main shape is convex / pinched"",""Q1"":""main shape is concave / bloated""}","","","","",""
"","html-keyboard-response","32","365313","0.0-9.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","7749","","2_concavity","74","1","0","0"
"","html-keyboard-response","33","366121","0.0-9.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","807","","2_concavity","70","4","1","0"
"","html-keyboard-response","34","367006","0.0-9.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","884","","2_concavity","70","0","2","1"
"","html-keyboard-response","35","367701","0.0-9.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","695","","2_concavity","70","2","3","0"
"","html-keyboard-response","36","368469","0.0-9.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","767","","2_concavity","74","3","4","1"
"","html-keyboard-response","37","369287","0.0-9.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","816","","2_concavity","74","5","5","1"
"","html-keyboard-response","38","382318","0.0-10.0-0.0","01234","shuffled","3","3","sameness","explain","","13030","","<div class='bongard-image'><img src='img/3_concavity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","39","393259","0.0-10.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","10937","{""Q0"":""main shape is concave"",""Q1"":""main shape is convex""}","","","","",""
"","html-keyboard-response","40","395540","0.0-10.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2278","","3_concavity","74","3","0","1"
"","html-keyboard-response","41","396228","0.0-10.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","686","","3_concavity","74","5","1","1"
"","html-keyboard-response","42","397103","0.0-10.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","874","","3_concavity","70","4","2","0"
"","html-keyboard-response","43","397999","0.0-10.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","895","","3_concavity","70","0","3","1"
"","html-keyboard-response","44","399049","0.0-10.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1048","","3_concavity","74","1","4","0"
"","html-keyboard-response","45","401272","0.0-10.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","2221","","3_concavity","70","2","5","0"
"","html-keyboard-response","46","405607","0.0-11.0-0.0","01234","shuffled","3","3","sameness","explain","","4335","","<div class='bongard-image'><img src='img/2_collinearity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","47","421500","0.0-11.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","15889","{""Q0"":""black triangles form a line"",""Q1"":""black triangles do not form a line""}","","","","",""
"","html-keyboard-response","48","423847","0.0-11.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2344","","2_collinearity","70","2","0","0"
"","html-keyboard-response","49","424434","0.0-11.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","586","","2_collinearity","74","5","1","1"
"","html-keyboard-response","50","425063","0.0-11.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","627","","2_collinearity","70","0","2","1"
"","html-keyboard-response","51","426023","0.0-11.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","959","","2_collinearity","74","3","3","1"
"","html-keyboard-response","52","427074","0.0-11.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1049","","2_collinearity","74","1","4","0"
